"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Group"
"ECM-receptor interaction","12/88",8.51863152751427e-12,1.42261146509488e-09,0,0,20.2576896787423,516.343499905708,"LAMA5;COL4A2;SDC4;LAMB2;DAG1;SPP1;FN1;LAMB1;LAMC1;AGRN;HSPG2;THBS1","KEGG_2021_Human","Upregulated"
"Small cell lung cancer","8/92",9.79460042352422e-07,8.17849135364273e-05,0,0,11.9047619047619,164.717433265677,"LAMA5;CDKN1B;COL4A2;MAX;LAMB2;FN1;LAMB1;LAMC1","KEGG_2021_Human","Upregulated"
"Protein processing in endoplasmic reticulum","9/171",1.32757449404581e-05,0.00073901646835217,0,0,6.96107572540694,78.1699001953024,"DNAJB2;SEC24A;HSPA5;DDIT3;EIF2AK3;SEC24D;ATF6;SEC23B;HERPUD1","KEGG_2021_Human","Upregulated"
"Complement and coagulation cascades","6/85",7.59898539809494e-05,0.00317257640370464,0,0,9.37737341772152,88.9435497193364,"C5;SERPINA1;C1S;CFH;SERPINE1;CLU","KEGG_2021_Human","Upregulated"
"Amoebiasis","6/102",0.000208362550895874,0.00611636345521772,0,0,7.71015625,65.3530651314162,"LAMA5;COL4A2;LAMB2;FN1;LAMB1;LAMC1","KEGG_2021_Human","Upregulated"
"Protein digestion and absorption","6/103",0.000219749585217403,0.00611636345521772,0,0,7.63028350515464,64.270045135197,"COL18A1;COL4A2;FXYD2;COL7A1;COL5A2;SLC38A2","KEGG_2021_Human","Upregulated"
"Focal adhesion","8/201",0.000281603438081849,0.00671825345138125,0,0,5.15275136092346,42.1237976370425,"LAMA5;COL4A2;LAMB2;FN1;SPP1;LAMB1;LAMC1;THBS1","KEGG_2021_Human","Upregulated"
"Human papillomavirus infection","10/331",0.000458740458440951,0.00957620706995486,0,0,3.89667705088266,29.9538576394957,"CREB3;LAMA5;CDKN1B;COL4A2;LAMB2;FN1;SPP1;LAMB1;LAMC1;THBS1","KEGG_2021_Human","Upregulated"
"Amino sugar and nucleotide sugar metabolism","4/48",0.000670038113116742,0.0124329294322773,0,0,11.1054994388328,81.160944044308,"NAGK;UXS1;UAP1;HK2","KEGG_2021_Human","Upregulated"
"PI3K-Akt signaling pathway","10/354",0.000770478226965041,0.0128669863903162,0,0,3.63185748360167,26.0349673274209,"CREB3;LAMA5;CDKN1B;COL4A2;LAMB2;FN1;SPP1;LAMB1;LAMC1;THBS1","KEGG_2021_Human","Upregulated"
"Amyotrophic lateral sclerosis","10/364",0.000952072030852075,0.0144541844683906,0,0,3.52745183253658,24.5400233482822,"GABARAPL2;HSPA5;DDIT3;EIF2AK3;RAB39B;WIPI1;ANG;COX6C;ATF6;SQSTM1","KEGG_2021_Human","Upregulated"
"Pathways of neurodegeneration","11/475",0.00210387442016312,0.0292789190139367,0,0,2.96259733036707,18.2613749080796,"APP;GABARAPL2;HSPA5;DDIT3;EIF2AK3;RAB39B;WIPI1;MAPT;COX6C;ATF6;SQSTM1","KEGG_2021_Human","Upregulated"
"Mitophagy","4/68",0.00246654440417984,0.0316856088844641,0,0,7.62731481481481,45.8015459683207,"GABARAPL2;CALCOCO2;EIF2AK3;SQSTM1","KEGG_2021_Human","Upregulated"
"Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426","17/123",2.55340698581734e-16,1.2511694230505e-13,0,0,21.2343928073952,762.398215540057,"IGFBP1;APP;SERPINA1;IGFBP4;APLP2;IGFBP2;FN1;LAMB1;LAMC1;CST3;VCAN;VGF;STC2;QSOX1;IGFBP6;TIMP1;MFGE8","Reactome_2022","Upregulated"
"Post-translational Protein Phosphorylation R-HSA-8957275","15/106",1.08594040164417e-14,2.66055398402823e-12,0,0,21.5519248962958,692.975096527471,"IGFBP1;APP;SERPINA1;IGFBP4;APLP2;FN1;LAMB1;LAMC1;CST3;VCAN;VGF;STC2;QSOX1;TIMP1;MFGE8","Reactome_2022","Upregulated"
"Extracellular Matrix Organization R-HSA-1474244","17/291",3.49509340817905e-10,5.70865256669246e-08,0,0,8.14480968010582,177.349083678367,"COL18A1;LAMA5;SDC4;SERPINE1;FN1;LAMB1;LAMC1;HSPG2;THBS1;VCAN;COL4A2;COL7A1;COL5A2;DAG1;TIMP2;TIMP1;AGRN","Reactome_2022","Upregulated"
"Platelet Degranulation R-HSA-114608","12/125",5.61130267275445e-10,6.8738457741242e-08,0,0,13.5991265371796,289.675919542598,"LGALS3BP;APP;SERPINA1;HSPA5;APLP2;SERPINE1;FN1;MAGED2;QSOX1;TIMP1;CLU;THBS1","Reactome_2022","Upregulated"
"Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005","12/130",8.85840946248239e-10,8.68124127323274e-08,0,0,13.0195905789126,271.386643607323,"LGALS3BP;APP;SERPINA1;HSPA5;APLP2;SERPINE1;FN1;MAGED2;QSOX1;TIMP1;CLU;THBS1","Reactome_2022","Upregulated"
