"Protein","ENTREZID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","Ctrl_1","Ctrl_2","Ctrl_3","Ctrl_4","Ctrl_5","IMP_1","IMP_2","IMP_3","IMP_4","IMP_5","group"
"P53350",5347,"PLK1",-3.78155502969156,-4.27259681952997,-23.9938463933582,6.94808421783151e-10,4.16676610543356e-06,12.5459829504179,-2.41733291284202,-2.1584658713707,-2.17452694502354,-2.83523491908688,-2.32353587509783,-6.04843025501209,-6.24973366608634,-6.45434640341858,-6.11620936521113,-5.94815198215064,"Downregulated"
"O15230",3911,"LAMA5",1.54555368588875,-1.4839547387263,19.43844103923,5.03948155219345e-09,1.08892872924471e-05,11.0364890889099,-2.30281217982692,-2.2799341804825,-2.24505746327564,-2.23288899132025,-2.22296509344806,-0.705698929774573,-0.693019709821386,-0.651560189287413,-0.728343483371413,-0.777267166654819,"Upregulated"
"P17482",3219,"HOXB9",3.85009617273816,-4.36511005253649,19.0685401839304,6.03322704907340e-09,1.08892872924471e-05,10.8902387747232,-6.26710983342055,-6.18998061659477,-6.71631915111926,-6.01182855795906,-6.26555253543419,-2.09322614363247,-2.9277077905057,-2.14105347407769,-2.75210575292266,-2.28621666969852,"Upregulated"
"O75955",10211,"FLOT1",-1.65378193518616,0.412039276721034,-18.6942527910525,7.26315643985131e-09,1.08892872924471e-05,10.7379975421105,1.29151908238135,1.18460893712249,1.33419873059935,1.17203406371809,1.21229040774929,-0.526065646205732,-0.326354331180074,-0.482787501645238,-0.358610526984025,-0.38044044834516,"Downregulated"
"P29966",4082,"MARCKS",-1.98960110646308,0.11732794189248,-16.2487562966226,2.68276376323239e-08,3.21770685762093e-05,9.62586868120602,0.940679964808967,1.06940208244205,1.08129484304925,1.20853146236941,1.26073412295043,-0.767883696114919,-0.931755115987908,-0.630477075241839,-1.16230920260092,-0.89493796674972,"Downregulated"
"P03950",283,"ANG",4.05794464352034,-4.76896402812695,15.5985536711635,3.91721317042753e-08,3.91525456384232e-05,9.29154601384142,-6.42309257031536,-6.78947940917482,-7.37941592372797,-6.69673460568927,-6.70095924052818,-3.44603757503748,-2.36714789958311,-2.2438923575545,-2.61091446521367,-3.03196623444511,"Upregulated"
"Q9P032",29078,"NDUFAF4",-2.07623862342066,-1.70603917520772,-15.1730604337675,5.05881174361106e-08,4.33395628949079e-05,9.06282938134904,-0.78455564886573,-0.655036888708523,-0.436636166229879,-0.958984470889278,-0.504386142793568,-2.57375080320208,-2.94867038482225,-2.64411421790604,-2.62120688832222,-2.93305014033767,"Downregulated"
"O43663",9055,"PRC1",-3.24811158745951,-4.42182980738923,-14.4594233498346,7.8882841139029e-08,5.91325497888446e-05,8.66037157625885,-2.77085370878954,-2.91482835889781,-3.30027789032867,-2.09666692447175,-2.90624318580961,-6.0203351908357,-6.06323014945457,-5.75355896836191,-6.48715440193583,-5.90514929500693,"Downregulated"
"P18850",22926,"ATF6",1.85844284398001,-3.82298975449581,13.5828839452159,1.40059473569245e-07,8.70149703155635e-05,8.13113467658761,-4.87927694159947,-4.7169410398472,-4.48797479614024,-5.13040425750766,-4.54645884733451,-2.78354802757904,-3.02675746436019,-2.83446943634688,-2.95506923620236,-2.86899749804054,"Upregulated"
"Q96T88",29128,"UHRF1",-3.56939691105664,-3.94263305700982,-13.4861312992231,1.49529793933454e-07,8.70149703155635e-05,8.07020045713792,-1.52310113452797,-2.14521179065211,-2.21897754276361,-2.40848931044386,-2.49389322901998,-6.0877201518944,-5.78438934469219,-6.19311901849329,-5.61593554722717,-4.95549350038366,"Downregulated"
"Q15910",2146,"EZH2",-7.1530646939379,-2.7232828526009,-13.3903100825916,1.59607249203135e-07,8.70149703155635e-05,8.00933855721578,2.03909744680829,0.690876953737207,0.602896421354171,-0.0353823242547625,0.968758974195363,-7.62901561147783,-6.21260236693392,-5.67905423384491,-4.97645806814418,-7.00194571744841,"Downregulated"
"Q14254",2319,"FLOT2",-1.7810927571351,-1.33834086087542,-12.7728078586933,2.45536022811632e-07,0.000122706627400113,7.60444063585206,-0.325343467480753,-0.739745776066288,-0.374539123506377,-0.190663087595293,-0.608680956890646,-2.48024609327554,-2.00096019935219,-2.26713513336866,-2.274090587118,-2.12200418410049,"Downregulated"
"P51784",NA,NA,1.22782297623475,-0.881165127401135,12.5420692858372,2.89807896850634e-07,0.000133690612108711,7.44728793625253,-1.63266486944687,-1.37012821467513,-1.53247939176975,-1.58953239347714,-1.35057820822367,-0.229056150340832,-0.221991758328242,-0.180466440602501,-0.352507938193276,-0.352245908953935,"Upregulated"
"Q06481",334,"APLP2",3.59590454945248,-1.56931966787616,12.4052038249206,3.20167760561191e-07,0.000137146147148961,7.35250348154514,-3.09737939402488,-3.22346396987429,-3.48855924119065,-3.00358316675211,-4.02337394117009,0.3639801208556,0.265290417725076,-0.703296000708853,0.490495049911869,0.726693446466684,"Upregulated"
"Q96FF9",113130,"CDCA5",-4.11755006606169,-4.44912945146584,-12.2953281869392,3.47074234951202e-07,0.00013876027913349,7.27554902009108,-1.9447183162893,-3.12802888735559,-2.20373174942098,-2.12244679830165,-2.55284634080743,-6.19042639487963,-7.58565667618541,-5.91125349124107,-6.28036127356408,-6.57182458661322,"Downregulated"
"P11047",3915,"LAMC1",1.64455002331255,-0.479515737245124,12.0494505773393,4.16741360610846e-07,0.000150576380124227,7.10050436929124,-1.31257021811012,-1.37783520490887,-1.47563272143024,-0.955083465905451,-1.38783213415232,0.454457680115559,0.256744299831461,0.407134627800612,0.0566154701606902,0.53884429414744,"Upregulated"
"O14786",8829,"NRP1",1.64314485714815,-2.30070916652459,11.9570965591844,4.46764830441013e-07,0.000150576380124227,7.03372334187776,-2.9412258547259,-3.05215170933074,-3.24386622823889,-3.0030614489278,-3.37110273427,-1.34740518821137,-1.67154387660333,-1.75143009315756,-1.34152099023554,-1.28378354154479,"Upregulated"
"P31431",6385,"SDC4",3.54299078819585,-2.75550021213668,11.9418233677799,4.51955117931647e-07,0.000150576380124227,7.02262417096963,-4.45456808989537,-3.9638391808543,-4.48523979325887,-5.62911663560226,-4.10221433156222,-0.951146097697091,-1.30661150391367,-0.910897939488712,-0.632369433084898,-1.1189991160094,"Upregulated"
"P05067",351,"APP",2.26865472098071,-0.552485275042048,11.7030057320873,5.42349819395624e-07,0.000163900012771632,6.84700691284936,-1.31865712042829,-1.59176877439395,-1.6229909165832,-2.20365056164171,-1.69699580461487,0.384594733462295,0.412659297560433,0.411413635830595,0.620259878701779,1.08028288168644,"Upregulated"
"P61244",4149,"MAX",1.24011342367966,-0.671361496578364,11.679057888269,5.52456744125588e-07,0.000163900012771632,6.82917976522209,-1.11875874866734,-1.25421925133472,-1.31962929358359,-1.46251743715749,-1.30196631134782,-0.0561571916884762,-0.250627912996896,-0.0316908123251022,0.122419330834624,-0.0404673375168277,"Upregulated"
"Q16222",6675,"UAP1",1.43215088779727,-2.21304649025764,11.6297207432293,5.73937013207315e-07,0.000163900012771632,6.79232616700373,-3.07843250033883,-2.98019656267199,-2.71929209110202,-3.1053208013961,-2.76236771527244,-1.61476089790583,-1.28849342049362,-1.44321573914017,-1.68456786175033,-1.45381731250508,"Upregulated"
